auth, geo, gen, feat
8.110646, 0.061373, 0.203860, 0.000000
8.110921, 0.179853, 0.392730, 0.357143
8.110921, 0.176193, 0.392730, 0.285714
5.009136, 0.058626, 0.237232, 0.214286
8.110785, 0.097658, 0.375393, 0.714286
8.110807, 0.070825, 0.392730, 0.857143
8.110705, 0.100863, 0.297012, 0.857143
8.110921, 0.211045, 0.392730, 0.142857
8.110921, 0.314211, 0.392730, 0.857143
8.110921, 0.321270, 0.392730, 0.500000
8.110807, 0.073176, 0.392730, 0.714286
8.110921, 0.228194, 0.392730, 0.285714
8.110921, 0.605946, 0.392730, 0.285714
8.110018, 0.086332, 0.375393, 0.571429
8.110921, 0.146882, 0.392730, 0.285714
8.110921, 0.322190, 0.392730, 0.571429
4.448544, 0.011966, 0.111496, 0.142857
8.110921, 0.313214, 0.392730, 0.285714
8.110921, 0.218658, 0.392730, 0.428571
8.110915, 0.154502, 0.392730, 0.714286
8.110154, 0.147470, 0.203860, 0.571429
8.110018, 0.511574, 0.346698, 0.285714
8.110921, 0.422310, 0.392730, 0.285714
8.110921, 0.305224, 0.392730, 0.285714
8.110921, 0.227699, 0.392730, 0.285714
8.110921, 0.299272, 0.392730, 0.642857
8.110921, 0.119122, 0.392730, 0.428571
8.110705, 0.106508, 0.297012, 0.214286
8.110921, 0.329481, 0.392730, 0.285714
8.110154, 0.164652, 0.346698, 0.285714
3.833927, 0.009572, 0.179413, 0.285714
8.110921, 0.307533, 0.392730, 0.571429
8.110018, 0.057261, 0.392730, 0.285714
8.110921, 0.207698, 0.392730, 0.571429
8.110921, 0.324122, 0.392730, 0.214286
8.110868, 0.096131, 0.392730, 0.857143
8.110921, 0.191725, 0.392730, 0.285714
4.448544, 0.051638, 0.111496, 0.285714
8.110662, 0.128948, 0.203860, 0.000000
8.110921, 0.788838, 0.392730, 0.428571
8.110921, 0.193208, 0.392730, 0.142857
8.110612, 0.174511, 0.297012, 0.285714
8.110154, 0.127200, 0.346698, 0.285714
8.110921, 0.489967, 0.392730, 0.142857
8.110921, 0.237256, 0.392730, 0.142857
8.110921, 0.351071, 0.392730, 0.571429
8.110921, 0.290166, 0.392730, 0.714286
8.110915, 0.155215, 0.392730, 0.571429
8.110154, 0.087548, 0.346698, 0.285714
4.448544, 0.015413, 0.136159, 0.428571
8.110921, 0.166364, 0.375393, 0.142857
8.110921, 0.199199, 0.392730, 0.285714
8.110921, 0.313501, 0.392730, 0.142857
8.110921, 0.137078, 0.392730, 0.714286
8.110921, 0.555470, 0.392730, 0.285714
8.110921, 0.172287, 0.392730, 0.285714
8.110921, 0.182433, 0.392730, 0.285714
8.110868, 0.094986, 0.392730, 0.857143
8.110921, 0.170854, 0.392730, 0.857143
8.110111, 0.103480, 0.375393, 0.571429
8.110921, 0.250302, 0.392730, 0.357143
8.110921, 0.153437, 0.392730, 0.428571
8.110921, 0.310708, 0.392730, 0.500000
5.009136, 0.067264, 0.237232, 0.142857
8.110921, 0.324410, 0.392730, 0.714286
8.110921, 0.329753, 0.392730, 0.285714
8.110514, 0.083839, 0.346698, 0.428571
8.110705, 0.105484, 0.297012, 0.571429
8.110921, 0.205256, 0.392730, 0.285714
8.110921, 0.309977, 0.392730, 0.642857
8.110921, 0.175862, 0.392730, 0.642857
8.110921, 0.172593, 0.392730, 0.571429
7.659021, 0.124095, 0.203860, 0.357143
7.659021, 0.120475, 0.203860, 0.285714
8.110646, 0.102505, 0.203860, 0.214286
7.658885, 0.107680, 0.203860, 0.714286
7.658907, 0.076884, 0.203860, 0.857143
7.658805, 0.123257, 0.203860, 0.857143
7.659021, 0.156587, 0.203860, 0.142857
7.659021, 0.262828, 0.203860, 0.857143
7.659021, 0.270201, 0.203860, 0.500000
7.658907, 0.076962, 0.203860, 0.714286
7.659021, 0.174099, 0.203860, 0.285714
7.659021, 0.545146, 0.203860, 0.285714
7.960131, 0.136773, 0.203860, 0.571429
7.659021, 0.097590, 0.203860, 0.285714
7.659021, 0.271204, 0.203860, 0.571429
8.110646, 0.057832, 0.203860, 0.142857
7.659021, 0.261152, 0.203860, 0.285714
7.659021, 0.157297, 0.203860, 0.428571
7.659015, 0.100204, 0.203860, 0.714286
7.870661, 0.201804, 0.203860, 0.571429
7.960131, 0.568538, 0.203860, 0.285714
7.659021, 0.383683, 0.203860, 0.285714
7.659021, 0.244098, 0.203860, 0.285714
7.659021, 0.173824, 0.203860, 0.285714
7.659021, 0.245278, 0.203860, 0.642857
7.659021, 0.057756, 0.203860, 0.428571
7.658805, 0.133551, 0.203860, 0.214286
7.659021, 0.279203, 0.203860, 0.285714
7.870661, 0.225275, 0.203860, 0.285714
8.110646, 0.063584, 0.203860, 0.285714
7.659021, 0.254623, 0.203860, 0.571429
7.960131, 0.117343, 0.203860, 0.285714
7.659021, 0.152693, 0.203860, 0.571429
7.659021, 0.275557, 0.203860, 0.214286
7.658968, 0.066196, 0.203860, 0.857143
7.659021, 0.144699, 0.203860, 0.285714
8.110646, 0.096185, 0.203860, 0.285714
7.658762, 0.073213, 0.203860, 0.000000
7.659021, 0.733776, 0.203860, 0.428571
7.659021, 0.138312, 0.203860, 0.142857
7.658712, 0.234696, 0.203860, 0.285714
7.870661, 0.185534, 0.203860, 0.285714
7.659021, 0.432023, 0.203860, 0.142857
7.659021, 0.182383, 0.203860, 0.142857
7.659021, 0.294122, 0.203860, 0.571429
7.659021, 0.235139, 0.203860, 0.714286
7.659015, 0.101336, 0.203860, 0.571429
7.870661, 0.145797, 0.203860, 0.285714
8.110646, 0.067700, 0.203860, 0.428571
7.659021, 0.109950, 0.203860, 0.142857
7.659021, 0.152262, 0.203860, 0.285714
7.659021, 0.264795, 0.203860, 0.142857
7.659021, 0.088590, 0.203860, 0.714286
7.659021, 0.497065, 0.203860, 0.285714
7.659021, 0.120119, 0.203860, 0.285714
7.659021, 0.129938, 0.203860, 0.285714
7.658968, 0.059980, 0.203860, 0.857143
7.659021, 0.120301, 0.203860, 0.857143
7.870618, 0.163715, 0.203860, 0.571429
7.659021, 0.195419, 0.203860, 0.357143
7.659021, 0.092085, 0.203860, 0.428571
7.659021, 0.258452, 0.203860, 0.500000
8.110646, 0.102231, 0.203860, 0.142857
7.659021, 0.273824, 0.203860, 0.714286
7.659021, 0.278845, 0.203860, 0.285714
7.720257, 0.110556, 0.203860, 0.428571
7.658805, 0.134691, 0.203860, 0.571429
7.659021, 0.150307, 0.203860, 0.285714
7.659021, 0.257596, 0.203860, 0.642857
7.659021, 0.131514, 0.203860, 0.642857
7.659021, 0.116996, 0.203860, 0.571429
5.040725, 0.003661, 0.000000, 0.071429
8.110921, 0.226592, 0.403493, 0.285714
7.481927, 0.156937, 0.215456, 0.357143
7.481948, 0.144602, 0.259283, 0.500000
7.560493, 0.181064, 0.117005, 0.500000
6.618880, 0.032865, 0.011388, 0.214286
7.092222, 0.139957, 0.097333, 0.500000
7.092222, 0.147482, 0.086935, 0.428571
7.481948, 0.141977, 0.259283, 0.357143
6.618880, 0.050365, 0.011388, 0.071429
7.092222, 0.430577, 0.097333, 0.214286
7.960407, 0.228595, 0.375393, 0.357143
7.183610, 0.040343, 0.055864, 0.071429
7.092222, 0.148538, 0.086935, 0.357143
