auth, geo, gen, feat
8.110646, 0.061373, 0.228854, 0.346667
8.110921, 0.179853, 0.457555, 0.460000
8.110921, 0.176193, 0.457555, 0.413333
5.009136, 0.058626, 0.296573, 0.360000
8.110785, 0.097658, 0.434008, 0.560000
8.110807, 0.070825, 0.457555, 0.613333
8.110705, 0.100863, 0.337032, 0.686667
8.110921, 0.211045, 0.457555, 0.346667
8.110921, 0.314211, 0.457555, 0.620000
8.110921, 0.321270, 0.457555, 0.500000
8.110807, 0.073176, 0.457555, 0.553333
8.110921, 0.228194, 0.457555, 0.393333
8.110921, 0.605946, 0.457555, 0.380000
8.110018, 0.086332, 0.434008, 0.540000
8.110921, 0.146882, 0.457555, 0.620000
8.110921, 0.322190, 0.457555, 0.520000
4.448544, 0.011966, 0.146275, 0.293333
8.110921, 0.313214, 0.457555, 0.440000
8.110921, 0.218658, 0.457555, 0.460000
8.110915, 0.154502, 0.457555, 0.546667
8.110154, 0.147470, 0.228854, 0.513333
8.110018, 0.511574, 0.397314, 0.393333
8.110921, 0.422310, 0.457555, 0.433333
8.110921, 0.305224, 0.457555, 0.433333
8.110921, 0.227699, 0.457555, 0.380000
8.110921, 0.299272, 0.457555, 0.580000
8.110921, 0.119122, 0.457555, 0.493333
8.110705, 0.106508, 0.337032, 0.493333
8.110921, 0.329481, 0.457555, 0.473333
8.110154, 0.164652, 0.397314, 0.413333
3.833927, 0.009572, 0.218454, 0.266667
8.110921, 0.307533, 0.457555, 0.500000
8.110018, 0.057261, 0.457555, 0.393333
8.110921, 0.207698, 0.457555, 0.513333
8.110921, 0.324122, 0.457555, 0.460000
8.110868, 0.096131, 0.457555, 0.620000
8.110921, 0.191725, 0.457555, 0.500000
4.448544, 0.051638, 0.146275, 0.353333
8.110662, 0.128948, 0.228854, 0.253333
8.110921, 0.788838, 0.457555, 0.453333
8.110921, 0.193208, 0.457555, 0.380000
8.110612, 0.174511, 0.337032, 0.400000
8.110154, 0.127200, 0.397314, 0.466667
8.110921, 0.489967, 0.457555, 0.313333
8.110921, 0.237256, 0.457555, 0.373333
8.110921, 0.351071, 0.457555, 0.513333
8.110921, 0.290166, 0.457555, 0.620000
8.110915, 0.155215, 0.457555, 0.533333
8.110154, 0.087548, 0.397314, 0.453333
4.448544, 0.015413, 0.181793, 0.480000
8.110921, 0.166364, 0.434008, 0.373333
8.110921, 0.199199, 0.457555, 0.500000
8.110921, 0.313501, 0.457555, 0.333333
8.110921, 0.137078, 0.457555, 0.613333
8.110921, 0.555470, 0.457555, 0.353333
8.110921, 0.172287, 0.457555, 0.453333
8.110921, 0.182433, 0.457555, 0.440000
8.110868, 0.094986, 0.457555, 0.626667
8.110921, 0.170854, 0.457555, 0.600000
8.110111, 0.103480, 0.434008, 0.520000
8.110921, 0.250302, 0.457555, 0.440000
8.110921, 0.153437, 0.457555, 0.533333
8.110921, 0.310708, 0.457555, 0.446667
5.009136, 0.067264, 0.296573, 0.326667
8.110921, 0.324410, 0.457555, 0.486667
8.110921, 0.329753, 0.457555, 0.393333
8.110514, 0.083839, 0.397314, 0.393333
8.110705, 0.105484, 0.337032, 0.553333
8.110921, 0.205256, 0.457555, 0.460000
8.110921, 0.309977, 0.457555, 0.560000
8.110921, 0.175862, 0.457555, 0.586667
8.110921, 0.172593, 0.457555, 0.480000
7.659021, 0.124095, 0.228854, 0.420000
7.659021, 0.120475, 0.228854, 0.386667
8.110646, 0.102505, 0.228854, 0.420000
7.658885, 0.107680, 0.228854, 0.580000
7.658907, 0.076884, 0.228854, 0.606667
7.658805, 0.123257, 0.228854, 0.580000
7.659021, 0.156587, 0.228854, 0.300000
7.659021, 0.262828, 0.228854, 0.600000
7.659021, 0.270201, 0.228854, 0.540000
7.658907, 0.076962, 0.228854, 0.546667
7.659021, 0.174099, 0.228854, 0.326667
7.659021, 0.545146, 0.228854, 0.440000
7.960131, 0.136773, 0.228854, 0.520000
7.659021, 0.097590, 0.228854, 0.433333
7.659021, 0.271204, 0.228854, 0.560000
8.110646, 0.057832, 0.228854, 0.366667
7.659021, 0.261152, 0.228854, 0.400000
7.659021, 0.157297, 0.228854, 0.433333
7.659015, 0.100204, 0.228854, 0.480000
7.870661, 0.201804, 0.228854, 0.506667
7.960131, 0.568538, 0.228854, 0.526667
7.659021, 0.383683, 0.228854, 0.446667
7.659021, 0.244098, 0.228854, 0.306667
7.659021, 0.173824, 0.228854, 0.360000
7.659021, 0.245278, 0.228854, 0.540000
7.659021, 0.057756, 0.228854, 0.346667
7.658805, 0.133551, 0.228854, 0.426667
7.659021, 0.279203, 0.228854, 0.406667
7.870661, 0.225275, 0.228854, 0.306667
8.110646, 0.063584, 0.228854, 0.340000
7.659021, 0.254623, 0.228854, 0.520000
7.960131, 0.117343, 0.228854, 0.406667
7.659021, 0.152693, 0.228854, 0.466667
7.659021, 0.275557, 0.228854, 0.400000
7.658968, 0.066196, 0.228854, 0.620000
7.659021, 0.144699, 0.228854, 0.480000
8.110646, 0.096185, 0.228854, 0.446667
7.658762, 0.073213, 0.228854, 0.326667
7.659021, 0.733776, 0.228854, 0.526667
7.659021, 0.138312, 0.228854, 0.320000
7.658712, 0.234696, 0.228854, 0.426667
7.870661, 0.185534, 0.228854, 0.480000
7.659021, 0.432023, 0.228854, 0.306667
7.659021, 0.182383, 0.228854, 0.326667
7.659021, 0.294122, 0.228854, 0.526667
7.659021, 0.235139, 0.228854, 0.460000
7.659015, 0.101336, 0.228854, 0.546667
7.870661, 0.145797, 0.228854, 0.466667
8.110646, 0.067700, 0.228854, 0.440000
7.659021, 0.109950, 0.228854, 0.306667
7.659021, 0.152262, 0.228854, 0.473333
7.659021, 0.264795, 0.228854, 0.386667
7.659021, 0.088590, 0.228854, 0.526667
7.659021, 0.497065, 0.228854, 0.406667
7.659021, 0.120119, 0.228854, 0.406667
7.659021, 0.129938, 0.228854, 0.433333
7.658968, 0.059980, 0.228854, 0.640000
7.659021, 0.120301, 0.228854, 0.520000
7.870618, 0.163715, 0.228854, 0.520000
7.659021, 0.195419, 0.228854, 0.380000
7.659021, 0.092085, 0.228854, 0.286667
7.659021, 0.258452, 0.228854, 0.420000
8.110646, 0.102231, 0.228854, 0.480000
7.659021, 0.273824, 0.228854, 0.500000
7.659021, 0.278845, 0.228854, 0.406667
7.720257, 0.110556, 0.228854, 0.346667
7.658805, 0.134691, 0.228854, 0.366667
7.659021, 0.150307, 0.228854, 0.380000
7.659021, 0.257596, 0.228854, 0.540000
7.659021, 0.131514, 0.228854, 0.600000
7.659021, 0.116996, 0.228854, 0.480000
5.040725, 0.003661, 0.000000, 0.280000
8.110921, 0.226592, 0.473182, 0.460000
7.481927, 0.156937, 0.266037, 0.400000
7.481948, 0.144602, 0.330589, 0.520000
7.560493, 0.181064, 0.140283, 0.500000
6.618880, 0.032865, 0.020127, 0.320000
7.092222, 0.139957, 0.143478, 0.460000
7.092222, 0.147482, 0.125884, 0.460000
7.481948, 0.141977, 0.330589, 0.440000
6.618880, 0.050365, 0.020127, 0.340000
7.092222, 0.430577, 0.143478, 0.400000
7.960407, 0.228595, 0.434008, 0.400000
7.183610, 0.040343, 0.087949, 0.400000
7.092222, 0.148538, 0.125884, 0.400000
8.110921, 0.179785, 0.434008, 0.420000
7.092222, 0.137841, 0.143478, 0.320000
7.092222, 0.080396, 0.143478, 0.320000
7.130515, 0.025765, 0.143478, 0.400000
7.870936, 0.291224, 0.228854, 0.460000
7.960407, 0.644666, 0.397314, 0.400000
7.092222, 0.272321, 0.143478, 0.360000
7.092222, 0.139000, 0.143478, 0.360000
6.618880, 0.050255, 0.020127, 0.400000
7.092222, 0.121237, 0.143478, 0.400000
7.092222, 0.080071, 0.143478, 0.300000
7.560493, 0.193427, 0.140283, 0.440000
7.092222, 0.157005, 0.125884, 0.360000
7.870936, 0.331124, 0.397314, 0.340000
8.110921, 0.178182, 0.397314, 0.340000
7.092222, 0.130903, 0.143478, 0.380000
7.960407, 0.227795, 0.457555, 0.400000
6.618880, 0.028675, 0.020127, 0.420000
7.092222, 0.155067, 0.125884, 0.400000
7.336960, 0.097976, 0.205365, 0.500000
7.183610, 0.043826, 0.087949, 0.400000
8.110921, 0.220274, 0.434008, 0.440000
7.659037, 0.111138, 0.228854, 0.420000
7.092222, 0.610065, 0.143478, 0.400000
6.029488, 0.014687, 0.020127, 0.400000
7.658987, 0.338135, 0.337032, 0.400000
7.870936, 0.285873, 0.397314, 0.360000
7.092222, 0.357914, 0.143478, 0.400000
6.618880, 0.058297, 0.020127, 0.360000
7.092222, 0.171218, 0.143478, 0.400000
7.092222, 0.111074, 0.099955, 0.460000
7.130515, 0.025511, 0.125884, 0.420000
7.870936, 0.249495, 0.397314, 0.400000
8.110921, 0.189781, 0.457555, 0.440000
