auth, geo, gen, feat
11246.596437, 0.252670, 0.612979, 0.260000
8541.820871, 0.059150, 0.612979, 0.280000
13493.538906, 0.861626, 0.612979, 0.560000
13493.538906, 0.792732, 0.612979, 0.560000
8541.820871, 0.158176, 0.612979, 0.180000
13493.538906, 0.688067, 0.612979, 0.380000
11246.596437, 0.180702, 0.612979, 0.300000
10084.613568, 0.171189, 0.612979, 0.460000
10084.613568, 0.122055, 0.612979, 0.480000
11246.596437, 0.160992, 0.612979, 0.380000
13493.538906, 0.434261, 0.612979, 0.386667
11246.596437, 0.210341, 0.549827, 0.506667
10084.613568, 0.040891, 0.612979, 0.320000
2457.693091, 0.030810, 0.000000, 0.286667
10084.613568, 0.183697, 0.612979, 0.420000
13493.538906, 0.852312, 0.612979, 0.580000
13493.538906, 0.741243, 0.612979, 0.440000
13493.538906, 0.760960, 0.612979, 0.400000
13493.538906, 0.633809, 0.612979, 0.440000
8541.820871, 0.113504, 0.612979, 0.400000
11246.596437, 0.207946, 0.549827, 0.460000
13493.538906, 0.804273, 0.612979, 0.660000
11246.596437, 0.298871, 0.549827, 0.400000
13493.538906, 0.681057, 0.612979, 0.680000
5913.805019, 0.037451, 0.140283, 0.213333
11246.596437, 0.147187, 0.612979, 0.526667
11246.596437, 0.234497, 0.612979, 0.400000
13493.538906, 0.537157, 0.612979, 0.306667
8541.820871, 0.234145, 0.612979, 0.300000
5913.805019, 0.077099, 0.140283, 0.306667
13493.538906, 0.864819, 0.612979, 0.600000
8541.820871, 0.132822, 0.612979, 0.160000
11246.596437, 0.280652, 0.549827, 0.320000
8541.820871, 0.119312, 0.612979, 0.200000
11246.596437, 0.196122, 0.612979, 0.340000
13493.538906, 0.644916, 0.612979, 0.560000
13493.538906, 0.576101, 0.612979, 0.540000
11246.596437, 0.110011, 0.612979, 0.200000
13493.538906, 0.444066, 0.612979, 0.380000
3745.433059, 0.116142, 0.337032, 0.240000
11246.596437, 0.213547, 0.612979, 0.340000
11246.596437, 0.191231, 0.612979, 0.380000
2966.168814, 0.091750, 0.140283, 0.220000
13493.538906, 0.184763, 0.612979, 0.506667
6536.035258, 0.167198, 0.549827, 0.426667
11246.596437, 0.222419, 0.612979, 0.140000
11246.596437, 0.234306, 0.612979, 0.426667
11246.596437, 0.373834, 0.612979, 0.380000
13493.538906, 0.623310, 0.612979, 0.620000
13493.538906, 0.499720, 0.612979, 0.400000
13493.538906, 0.527850, 0.612979, 0.400000
13493.538906, 0.418030, 0.472696, 0.400000
11246.596437, 0.196100, 0.612979, 0.460000
6536.035258, 0.144194, 0.549827, 0.360000
13493.538906, 0.562196, 0.612979, 0.600000
3745.433059, 0.183016, 0.228854, 0.220000
13493.538906, 0.464476, 0.612979, 0.660000
11246.596437, 0.279500, 0.612979, 0.393333
3745.433059, 0.117318, 0.337032, 0.426667
1073.485978, 0.029396, 0.000000, 0.240000
13493.538906, 0.290246, 0.612979, 0.426667
11246.596437, 0.040319, 0.472696, 0.320000
11246.596437, 0.269486, 0.612979, 0.446667
13493.538906, 0.656820, 0.612979, 0.560000
11246.596437, 0.288947, 0.612979, 0.220000
3745.433059, 0.098592, 0.228854, 0.220000
11246.596437, 0.251577, 0.612979, 0.180000
13493.538906, 0.819281, 0.648169, 0.520000
13493.538906, 0.750048, 0.648169, 0.560000
3233.341397, 0.099054, 0.090927, 0.300000
13493.538906, 0.636179, 0.669590, 0.500000
11246.596437, 0.140587, 0.612979, 0.300000
10084.613568, 0.163238, 0.669590, 0.340000
10084.613568, 0.108066, 0.683336, 0.320000
11246.596437, 0.104564, 0.612979, 0.460000
13493.538906, 0.379630, 0.669590, 0.546667
11246.596437, 0.184580, 0.549827, 0.426667
10084.613568, 0.048396, 0.612979, 0.320000
8541.820871, 0.038535, 0.612979, 0.246667
10084.613568, 0.228058, 0.612979, 0.300000
13493.538906, 0.806085, 0.648169, 0.620000
13493.538906, 0.690401, 0.648169, 0.520000
13493.538906, 0.713067, 0.669590, 0.480000
13493.538906, 0.590319, 0.669590, 0.520000
2956.728917, 0.071999, 0.069215, 0.280000
11246.596437, 0.176148, 0.549827, 0.460000
13493.538906, 0.753357, 0.612979, 0.620000
11246.596437, 0.267809, 0.549827, 0.360000
13493.538906, 0.637698, 0.669590, 0.680000
8541.820871, 0.093061, 0.612979, 0.333333
11246.596437, 0.100774, 0.612979, 0.606667
11246.596437, 0.176413, 0.612979, 0.440000
13493.538906, 0.483810, 0.669590, 0.426667
4059.417814, 0.181474, 0.140283, 0.340000
8541.820871, 0.111787, 0.612979, 0.386667
13493.538906, 0.825077, 0.648169, 0.680000
2956.728917, 0.132929, 0.087949, 0.280000
11246.596437, 0.235262, 0.549827, 0.320000
2956.728917, 0.104637, 0.087949, 0.280000
3312.031825, 0.069291, 0.218454, 0.520000
13493.538906, 0.753378, 0.648169, 0.560000
4625.295389, 0.241088, 0.218454, 0.580000
13493.538906, 0.681332, 0.612979, 0.520000
13493.538906, 0.713485, 0.648169, 0.520000
13493.538906, 0.746390, 0.648169, 0.480000
13493.538906, 0.723644, 0.612979, 0.520000
10753.505185, 0.474553, 0.397314, 0.600000
13493.538906, 0.657532, 0.549827, 0.560000
13493.538906, 0.821432, 0.612979, 0.560000
13493.538906, 0.856147, 0.612979, 0.560000
13493.538906, 0.866082, 0.612979, 0.480000
2285.154540, 0.063442, 0.090927, 0.520000
4625.295389, 0.190378, 0.218454, 0.540000
4625.295389, 0.136706, 0.218454, 0.520000
10753.505185, 0.229117, 0.397314, 0.520000
13493.538906, 0.839391, 0.648169, 0.500000
13493.538906, 0.655318, 0.549827, 0.560000
4625.295389, 0.160618, 0.140283, 0.380000
13493.538906, 0.568265, 0.549827, 0.520000
6614.634079, 0.181788, 0.218454, 0.540000
13493.538906, 0.871150, 0.612979, 0.560000
13493.538906, 0.718639, 0.612979, 0.560000
13493.538906, 0.673303, 0.612979, 0.540000
10753.505185, 0.375723, 0.397314, 0.600000
13493.538906, 0.643848, 0.612979, 0.520000
13493.538906, 0.831234, 0.612979, 0.560000
2285.154540, 0.038880, 0.000000, 0.560000
13493.538906, 0.932619, 0.648169, 0.560000
13493.538906, 0.584045, 0.549827, 0.520000
13493.538906, 0.895361, 0.648169, 0.560000
13493.538906, 0.684326, 0.648169, 0.580000
4625.295389, 0.188574, 0.218454, 0.400000
13493.538906, 0.612310, 0.612979, 0.480000
13493.538906, 0.646403, 0.648169, 0.540000
13493.538906, 0.678158, 0.648169, 0.480000
13493.538906, 0.654386, 0.612979, 0.480000
10753.505185, 0.407887, 0.397314, 0.566667
13493.538906, 0.589588, 0.549827, 0.426667
13493.538906, 0.752636, 0.612979, 0.560000
13493.538906, 0.786975, 0.612979, 0.606667
13493.538906, 0.802249, 0.612979, 0.480000
3312.031825, 0.080639, 0.218454, 0.280000
4625.295389, 0.146813, 0.218454, 0.500000
4625.295389, 0.089396, 0.218454, 0.380000
10753.505185, 0.159828, 0.397314, 0.460000
13493.538906, 0.770277, 0.648169, 0.600000
13493.538906, 0.586852, 0.549827, 0.400000
4625.295389, 0.140560, 0.140283, 0.360000
13493.538906, 0.500571, 0.549827, 0.560000
6614.634079, 0.112498, 0.218454, 0.260000
13493.538906, 0.802796, 0.612979, 0.693333
13493.538906, 0.649434, 0.612979, 0.486667
13493.538906, 0.604608, 0.612979, 0.540000
10753.505185, 0.311606, 0.397314, 0.506667
13493.538906, 0.574615, 0.612979, 0.600000
13493.538906, 0.763636, 0.612979, 0.726667
3312.031825, 0.085264, 0.218454, 0.400000
13493.538906, 0.863496, 0.648169, 0.540000
13493.538906, 0.514798, 0.549827, 0.480000
13493.538906, 0.826261, 0.648169, 0.600000
13493.538906, 0.553591, 0.648169, 0.440000
