auth, geo, gen, feat
0.999966, 0.061373, 0.203860, 0.000000
1.000000, 0.179853, 0.392730, 0.357143
1.000000, 0.176193, 0.392730, 0.285714
0.617579, 0.058626, 0.237232, 0.214286
0.999983, 0.097658, 0.375393, 0.714286
0.999986, 0.070825, 0.392730, 0.857143
0.999973, 0.100863, 0.297012, 0.857143
1.000000, 0.211045, 0.392730, 0.142857
1.000000, 0.314211, 0.392730, 0.857143
1.000000, 0.321270, 0.392730, 0.500000
0.999986, 0.073176, 0.392730, 0.714286
1.000000, 0.228194, 0.392730, 0.285714
1.000000, 0.605946, 0.392730, 0.285714
0.999889, 0.086332, 0.375393, 0.571429
1.000000, 0.146882, 0.392730, 0.285714
1.000000, 0.322190, 0.392730, 0.571429
0.548463, 0.011966, 0.111496, 0.142857
1.000000, 0.313214, 0.392730, 0.285714
1.000000, 0.218658, 0.392730, 0.428571
0.999999, 0.154502, 0.392730, 0.714286
0.999905, 0.147470, 0.203860, 0.571429
0.999889, 0.511574, 0.346698, 0.285714
1.000000, 0.422310, 0.392730, 0.285714
1.000000, 0.305224, 0.392730, 0.285714
1.000000, 0.227699, 0.392730, 0.285714
1.000000, 0.299272, 0.392730, 0.642857
1.000000, 0.119122, 0.392730, 0.428571
0.999973, 0.106508, 0.297012, 0.214286
1.000000, 0.329481, 0.392730, 0.285714
0.999905, 0.164652, 0.346698, 0.285714
0.472687, 0.009572, 0.179413, 0.285714
1.000000, 0.307533, 0.392730, 0.571429
0.999889, 0.057261, 0.392730, 0.285714
1.000000, 0.207698, 0.392730, 0.571429
1.000000, 0.324122, 0.392730, 0.214286
0.999993, 0.096131, 0.392730, 0.857143
1.000000, 0.191725, 0.392730, 0.285714
0.548463, 0.051638, 0.111496, 0.285714
0.999968, 0.128948, 0.203860, 0.000000
1.000000, 0.788838, 0.392730, 0.428571
1.000000, 0.193208, 0.392730, 0.142857
0.999962, 0.174511, 0.297012, 0.285714
0.999905, 0.127200, 0.346698, 0.285714
1.000000, 0.489967, 0.392730, 0.142857
1.000000, 0.237256, 0.392730, 0.142857
1.000000, 0.351071, 0.392730, 0.571429
1.000000, 0.290166, 0.392730, 0.714286
0.999999, 0.155215, 0.392730, 0.571429
0.999905, 0.087548, 0.346698, 0.285714
0.548463, 0.015413, 0.136159, 0.428571
1.000000, 0.166364, 0.375393, 0.142857
1.000000, 0.199199, 0.392730, 0.285714
1.000000, 0.313501, 0.392730, 0.142857
1.000000, 0.137078, 0.392730, 0.714286
1.000000, 0.555470, 0.392730, 0.285714
1.000000, 0.172287, 0.392730, 0.285714
1.000000, 0.182433, 0.392730, 0.285714
0.999993, 0.094986, 0.392730, 0.857143
1.000000, 0.170854, 0.392730, 0.857143
0.999900, 0.103480, 0.375393, 0.571429
1.000000, 0.250302, 0.392730, 0.357143
1.000000, 0.153437, 0.392730, 0.428571
1.000000, 0.310708, 0.392730, 0.500000
0.617579, 0.067264, 0.237232, 0.142857
1.000000, 0.324410, 0.392730, 0.714286
1.000000, 0.329753, 0.392730, 0.285714
0.999950, 0.083839, 0.346698, 0.428571
0.999973, 0.105484, 0.297012, 0.571429
1.000000, 0.205256, 0.392730, 0.285714
1.000000, 0.309977, 0.392730, 0.642857
1.000000, 0.175862, 0.392730, 0.642857
1.000000, 0.172593, 0.392730, 0.571429
0.944285, 0.124095, 0.203860, 0.357143
0.944285, 0.120475, 0.203860, 0.285714
