feature_id,value_id,description,long description
1A,1,Small,Small
1A,2,Moderately small,Moderately small
1A,3,Average,Average
1A,4,Moderately large,Moderately large
1A,5,Large,Large
2A,1,Small (2-4),Small vowel inventory (2-4)
2A,2,Average (5-6),Average vowel inventory (5-6)
2A,3,Large (7-14),Large vowel inventory (7-14)
3A,1,Low,Low
3A,2,Moderately low,Moderately low
3A,3,Average,Average
3A,4,Moderately high,Moderately high
3A,5,High,High
4A,1,No voicing constrast,No voicing contrast
4A,2,In plosives alone,Voicing contrast in plosives alone
4A,3,In fricatives alone,Voicing contrast in fricatives alone
4A,4,In both plosives and fricatives,Voicing contrast in both plosives and fricatives
5A,1,Other,Other
5A,2,None missing in /p t k b d g/,/p t k b d g/
5A,3,Missing /p/,Missing /p/
5A,4,Missing /g/,Missing /g/
5A,5,Both missing,Both missing
6A,1,None,No uvulars
6A,2,Uvular stops only,Uvular stops only
6A,3,Uvular continuants only,Uvular continuants only
6A,4,Uvular stops and continuants,Uvular stops and continuants
7A,1,No glottalized consonants,No glottalized consonants
7A,2,Ejectives only,Ejectives only
7A,3,Implosives only,Implosives only
7A,4,Glottalized resonants only,Glottalized resonants only
7A,5,Ejectives and implosives,Ejectives and implosives
7A,6,Ejectives and glottalized resonants,Ejectives and glottalized resonants
7A,7,Implosives and glottalized resonants,Implosives and glottalized resonants
7A,8,"Ejectives, implosives, and glottalized resonants","Ejectives, implosives and glottalized resonants"
8A,1,No laterals,No laterals
8A,2,"/l/, no obstruent laterals","/l/, no obstruent laterals"
8A,3,"Laterals, but no /l/, no obstruent laterals","Laterals, but no /l/, no obstruent lateral"
8A,4,/l/ and lateral obstruent,/l/ and lateral obstruents
8A,5,"No /l/, but lateral obstruents","No /l/, but lateral obstruents"
9A,1,Initial velar nasal,"Velar nasal, also initially"
9A,2,No initial velar nasal,"Velar nasal, but not initially"
9A,3,No velar nasal,No velar nasal
10A,1,Contrast present,Contrastive nasal vowels present
10A,2,Contrast absent,Contrastive nasal vowels absent
11A,1,None,None
11A,2,High and mid,High and mid
11A,3,High only,High only
11A,4,Mid only,Mid only
12A,1,Simple,Simple syllable structure
12A,2,Moderately complex,Moderately complex syllable structure
12A,3,Complex,Complex syllable structure
13A,1,No tones,No tones
13A,2,Simple tone system,Simple tone system
13A,3,Complex tone system,Complex tone system
14A,1,No fixed stress,No fixed stress (mostly weight-sensitive stress)
14A,2,Initial,Initial: stress is on the first syllable
14A,3,Second,Second: stress is on the second syllable
14A,4,Third,Third: stress is on the third syllable
14A,5,Antepenultimate,Antepenultimate: stress is on the antepenultimate (third from the right) syllable
14A,6,Penultimate,Penultimate: stress is on the penultimate (second from the right) syllable
14A,7,Ultimate,Ultimate: stress is on the ultimate (last) syllable
15A,1,Left-edge: First or second,Left-edge: Stress is on the first or second syllable
15A,2,Left-oriented: One of the first three,Left-oriented: The third syllable is involved
15A,3,Right-edge: Ultimate or penultimate,Right-edge: Stress on ultimate or penultimate syllable
15A,4,Right-oriented: One of the last three,Right-oriented: The antepenultimate is involved
15A,5,Unbounded: Stress can be anywhere,Unbounded: Stress can be anywhere in the word
15A,6,Combined: Right-edge and unbounded,Combined: Both Right-edge and unbounded
15A,7,Not predictable,Not predictable
15A,8,Fixed stress (no weight-sensitivity),Fixed stress (no weight-sensitivity)
16A,1,No weight,"No weight, or weight factor unknown"
16A,2,Long vowel,Long vowel: long vowels are heavy for stress
16A,3,Coda consonant,Coda consonant: closed syllables are heavy for stress
